question,optionA,optionB,optionC,optionD,correct,explanation
Find the area of a circle of radius 10 cm. (Take π = 22/7),319.29,314.29,324.29,302.29,B,The correct answer is 314.29.
A rectangle has length 4 cm and width 14 cm. Find its perimeter.,42,36,32,26,B,The correct answer is 36.
A trader buys an item for ₦22 and sells it for ₦32. Find the profit.,10,9,14,12,A,The correct answer is 10.
Find sin 60°.,√3/2,1,0,√3,A,The correct answer is √3/2.
A trader buys an item for ₦42 and sells it for ₦61. Find the profit.,19,21,23,18,A,The correct answer is 19.
"Find the mean of the numbers [3, 3, 3, 29, 14].",7.4,10.4,12.4,14.4,B,The correct answer is 10.4.
A trader buys an item for ₦37 and sells it for ₦44. Find the profit.,11,9,6,7,D,The correct answer is 7.
Find sin 45°.,√3,√2/2,1,0,B,The correct answer is √2/2.
A trader buys an item for ₦45 and sells it for ₦54. Find the profit.,9,13,8,11,A,The correct answer is 9.
A trader buys an item for ₦37 and sells it for ₦49. Find the profit.,11,14,16,12,D,The correct answer is 12.
A rectangle has length 12 cm and width 10 cm. Find its perimeter.,34,40,44,50,C,The correct answer is 44.
Solve for x: 6x + 4 = 58,9,11,8,10,A,The correct answer is 9.
"If f(x) = 4x + 9, find f(4).",25,20,32,22,A,The correct answer is 25.
"If |A|=36, |B|=20, and |A ∩ B|=14, find |A ∪ B|.",47,38,52,42,D,The correct answer is 42.
"If f(x) = 6x + 2, find f(7).",39,51,44,41,C,The correct answer is 44.
A trader buys an item for ₦48 and sells it for ₦68. Find the profit.,24,22,19,20,D,The correct answer is 20.
A trader buys an item for ₦30 and sells it for ₦37. Find the profit.,11,6,7,9,C,The correct answer is 7.
"Find the mean of the numbers [11, 9, 15, 8, 9].",12.4,14.4,10.4,7.4,C,The correct answer is 10.4.
Find sin 30°.,0,1/2,√3,1,B,The correct answer is 1/2.
A rectangle has length 13 cm and width 8 cm. Find its perimeter.,42,32,48,38,A,The correct answer is 42.
"If |A|=29, |B|=21, and |A ∩ B|=14, find |A ∪ B|.",32,41,46,36,D,The correct answer is 36.
Solve for x: 8x + 11 = 19,1,0,3,2,A,The correct answer is 1.
A rectangle has length 10 cm and width 3 cm. Find its perimeter.,32,22,16,26,D,The correct answer is 26.
