question,optionA,optionB,optionC,optionD,correct,explanation
"PASSAGE:
Amina had always believed that success was a product of steady effort rather than sudden luck. 
During her final year in secondary school, she split her time between preparing for examinations 
and running a small tutoring service for junior students. Though exhausting, the work sharpened 
her skills and strengthened her confidence.
According to the passage, what is the main idea?",central theme of effort,irrelevant detail,unsupported opinion,minor character trait,A,Main idea based on passage context.
"PASSAGE:
Amina had always believed that success was a product of steady effort rather than sudden luck. 
During her final year in secondary school, she split her time between preparing for examinations 
and running a small tutoring service for junior students. Though exhausting, the work sharpened 
her skills and strengthened her confidence.
According to the passage, what is the main idea?",central theme of effort,irrelevant detail,unsupported opinion,minor character trait,A,Main idea based on passage context.
"PASSAGE:
Amina had always believed that success was a product of steady effort rather than sudden luck. 
During her final year in secondary school, she split her time between preparing for examinations 
and running a small tutoring service for junior students. Though exhausting, the work sharpened 
her skills and strengthened her confidence.
According to the passage, what is the main idea?",central theme of effort,irrelevant detail,unsupported opinion,minor character trait,A,Main idea based on passage context.
"PASSAGE:
Amina had always believed that success was a product of steady effort rather than sudden luck. 
During her final year in secondary school, she split her time between preparing for examinations 
and running a small tutoring service for junior students. Though exhausting, the work sharpened 
her skills and strengthened her confidence.
According to the passage, what is the main idea?",central theme of effort,irrelevant detail,unsupported opinion,minor character trait,A,Main idea based on passage context.
"PASSAGE:
Amina had always believed that success was a product of steady effort rather than sudden luck. 
During her final year in secondary school, she split her time between preparing for examinations 
and running a small tutoring service for junior students. Though exhausting, the work sharpened 
her skills and strengthened her confidence.
According to the passage, what is the main idea?",central theme of effort,irrelevant detail,unsupported opinion,minor character trait,A,Main idea based on passage context.
"PASSAGE:
When Mr. Bello introduced continuous assessment into his class, many students objected at first. 
They felt it placed too much pressure on them throughout the term. However, as weeks passed, 
they discovered that their performance improved because they studied more consistently.
According to the passage, what is the main idea?",central theme of effort,irrelevant detail,unsupported opinion,minor character trait,A,Main idea based on passage context.
"PASSAGE:
When Mr. Bello introduced continuous assessment into his class, many students objected at first. 
They felt it placed too much pressure on them throughout the term. However, as weeks passed, 
they discovered that their performance improved because they studied more consistently.
According to the passage, what is the main idea?",central theme of effort,irrelevant detail,unsupported opinion,minor character trait,A,Main idea based on passage context.
"PASSAGE:
When Mr. Bello introduced continuous assessment into his class, many students objected at first. 
They felt it placed too much pressure on them throughout the term. However, as weeks passed, 
they discovered that their performance improved because they studied more consistently.
According to the passage, what is the main idea?",central theme of effort,irrelevant detail,unsupported opinion,minor character trait,A,Main idea based on passage context.
"PASSAGE:
When Mr. Bello introduced continuous assessment into his class, many students objected at first. 
They felt it placed too much pressure on them throughout the term. However, as weeks passed, 
they discovered that their performance improved because they studied more consistently.
According to the passage, what is the main idea?",central theme of effort,irrelevant detail,unsupported opinion,minor character trait,A,Main idea based on passage context.
"PASSAGE:
When Mr. Bello introduced continuous assessment into his class, many students objected at first. 
They felt it placed too much pressure on them throughout the term. However, as weeks passed, 
they discovered that their performance improved because they studied more consistently.
According to the passage, what is the main idea?",central theme of effort,irrelevant detail,unsupported opinion,minor character trait,A,Main idea based on passage context.
